,SVVD,WBL_AUD_DT,AMT,date_before_sailing,sales_count
0,IC19-CAC-187 N,2019-09-27,2045.4,11,246
1,IC19-CAC-187 N,2019-09-28,511.35,10,246
2,IC19-CAC-187 N,2019-09-29,1761.9,9,246
3,IC19-CAC-187 N,2019-09-30,1455.299999999997,8,246
4,IC19-CAC-187 N,2019-10-02,1523.5499999999984,6,246
5,IC19-CAC-187 N,2019-10-04,2753.1,4,246
6,IC19-CAC-187 N,2019-10-05,917.7,3,246
7,IC19-CAC-187 N,2019-10-06,2753.1,2,246
8,IC19-CAC-187 N,2019-10-07,1376.5500000000002,1,246
9,IC19-CAC-187 N,2019-10-08,3576.3,0,246
15,IC19-CAE-199 N,2019-09-25,458.85,0,315
14,IC19-CAE-199 N,2019-09-23,1376.5500000000002,2,315
13,IC19-CAE-199 N,2019-09-22,2556.75,3,315
12,IC19-CAE-199 N,2019-09-20,1232.7,5,315
11,IC19-CAE-199 N,2019-09-19,6019.650000000001,6,315
10,IC19-CAE-199 N,2019-09-18,-31904.25000000017,7,315
16,IC19-CAE-200 N,2019-10-13,21325.499999999996,9,83
17,IC19-CAE-200 N,2019-10-16,3005.1,6,83
18,IC19-CAE-200 N,2019-10-18,896.7,4,83
19,IC19-CAE-200 N,2019-10-19,448.35,3,83
20,IC19-CAE-200 N,2019-10-22,545.9999999999995,0,83
28,IC19-CAJ-159 N,2019-09-30,1085.7,0,173
27,IC19-CAJ-159 N,2019-09-29,2858.1,1,173
26,IC19-CAJ-159 N,2019-09-28,6136.200000000001,2,173
25,IC19-CAJ-159 N,2019-09-26,5624.85,4,173
23,IC19-CAJ-159 N,2019-09-24,9715.650000000003,6,173
22,IC19-CAJ-159 N,2019-09-23,917.7,7,173
21,IC19-CAJ-159 N,2019-09-18,-12761.699999999973,12,173
24,IC19-CAJ-159 N,2019-09-25,1376.5500000000002,5,173
29,IC19-CAJ-160 N,2019-10-16,500.85,9,539
30,IC19-CAJ-160 N,2019-10-22,-100398.90000000158,3,539
31,IC19-CAJ-160 N,2019-10-23,1822.8,2,539
32,IC19-CAJ-160 N,2019-10-25,1073.1,0,539
36,IC19-CAL-191 N,2019-09-18,-21225.750000000025,2,246
38,IC19-CAL-191 N,2019-09-20,1849.0500000000002,0,246
37,IC19-CAL-191 N,2019-09-19,4681.95,1,246
34,IC19-CAL-191 N,2019-09-15,5049.450000000001,5,246
33,IC19-CAL-191 N,2019-09-14,1442.7,6,246
35,IC19-CAL-191 N,2019-09-16,1442.7,4,246
42,IC19-CAL-192 N,2019-10-16,4006.7999999999997,1,62
39,IC19-CAL-192 N,2019-10-08,2885.4,9,62
40,IC19-CAL-192 N,2019-10-09,3579.45,8,62
41,IC19-CAL-192 N,2019-10-10,3670.7999999999997,7,62
43,IC19-CAL-192 N,2019-10-17,15142.050000000008,0,62
45,IC39-TDB-042 N,2019-10-13,2033.85,3,5
44,IC39-TDB-042 N,2019-10-12,1421.7,4,5
46,IC39-TDB-042 N,2019-10-16,1001.7,0,5
