,before_days,average_count
0,-7,0.18181818181818182
1,-6,0.09090909090909091
2,-5,6.545454545454546
3,-4,9.454545454545455
4,-3,3.272727272727273
5,-2,10.545454545454545
6,-1,1.6363636363636365
7,0,32.0
8,1,4.545454545454546
9,2,19.272727272727273
10,3,28.272727272727273
11,4,50.72727272727273
12,5,22.818181818181817
13,6,51.63636363636363
14,7,49.0
15,8,34.54545454545455
16,9,31.818181818181817
17,10,7.7272727272727275
18,11,9.636363636363637
19,12,7.2727272727272725
20,13,0.7272727272727273
21,15,9.636363636363637
22,17,8.090909090909092
23,20,0.36363636363636365
